iter	Passed	Remaining
903	8939	949
904	8949	939
905	8959	929
906	8968	919
907	8978	909
908	8988	899
909	8998	890
910	9008	880
911	9018	870
912	9028	860
913	9038	850
914	9048	840
915	9058	830
916	9068	820
917	9078	810
918	9087	801
919	9097	791
920	9106	781
921	9117	771
922	9126	761
923	9137	751
924	9147	741
925	9156	731
926	9167	721
927	9178	712
928	9187	702
929	9197	692
930	9205	682
931	9216	672
932	9225	662
933	9235	652
934	9245	642
935	9255	632
936	9265	622
937	9275	613
938	9285	603
939	9295	593
940	9304	583
941	9314	573
942	9324	563
943	9334	553
944	9343	543
945	9353	533
946	9360	523
947	9368	513
948	9378	504
949	9388	494
950	9398	484
951	9408	474
952	9418	464
953	9428	454
954	9438	444
955	9447	434
956	9456	424
957	9465	414
958	9475	405
959	9485	395
960	9495	385
961	9505	375
962	9515	365
963	9524	355
964	9534	345
965	9544	335
966	9553	326
967	9563	316
968	9574	306
969	9583	296
970	9592	286
971	9602	276
972	9612	266
973	9622	256
974	9632	246
975	9642	237
976	9651	227
977	9661	217
978	9670	207
979	9680	197
980	9690	187
981	9700	177
982	9710	167
983	9720	158
984	9730	148
985	9740	138
986	9750	128
987	9760	118
988	9767	108
989	9774	98
990	9783	88
991	9793	78
992	9803	69
993	9812	59
994	9822	49
995	9831	39
996	9841	29
997	9851	19
998	9860	9
999	9870	0
